"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"88","Bioresmethrin","Onion",19,0.305887645160749,3.39508771929825,6.57388354774294,6.5809962886137,"Insignificant"
"89","Bioresmethrin","Orange",21,0.290957186981323,2.15174603174603,6.84686267319628,6.85304199244865,"Insignificant"
"90","Bioresmethrin","Spinach",12,0.384900179459751,2.69333333333334,4.81517131029362,4.8305302913472,"Insignificant"
"91","Bioresmethrin","Strawberries",20,0.298142396999972,-3.59133333333333,19.0866014178588,19.0889298435795,"Insignificant"
"92","Bitertanol","Apple",21,0.290957186981323,1.60190476190477,4.87670797105185,4.88537989511324,"Insignificant"
"93","Bitertanol","Avocado",21,0.290957186981323,-6.63936507936508,13.8480923523402,13.8511486124291,"Insignificant"
"94","Bitertanol","Carrot",20,0.298142396999972,4.26933333333334,4.42073286507198,4.43077509621244,"Insignificant"
"95","Bitertanol","Onion",21,0.290957186981323,0.752380952380954,3.2213939603251,3.23450693804715,"Insignificant"
"96","Bitertanol","Orange",21,0.290957186981323,2.72317460317461,4.87147507619504,4.88015629899756,"Insignificant"
"97","Bitertanol","Spinach",12,0.384900179459751,3.95666666666667,2.92186255804081,2.94710518241697,"Insignificant"
"98","Bitertanol","Strawberries",21,0.290957186981323,0.994920634920637,3.79753481719795,3.80866469677849,"Insignificant"
"99","Boscalid","Apple",21,0.290957186981323,0.603174603174609,4.38847765001214,4.39811234159749,"Insignificant"
"100","Boscalid","Avocado",21,0.290957186981323,-9.61460317460317,13.4532453943356,13.45639133367,"Insignificant"
"101","Boscalid","Carrot",21,0.290957186981323,2.13460317460318,4.66173244813443,4.67080351788057,"Insignificant"
"102","Boscalid","Onion",17,0.323380833381777,0.527058823529414,2.36554488741581,2.38754639280115,"Insignificant"
"103","Boscalid","Orange",21,0.290957186981323,-5.38920634920635,5.95629805842913,5.96340025870331,"Insignificant"
"104","Boscalid","Spinach",14,0.356348322549899,2.63238095238095,4.07656203160923,4.09210729631349,"Insignificant"
"105","Boscalid","Strawberries",20,0.298142396999972,-3.728,4.57369319846491,4.58340030573079,"Insignificant"
"106","Bromophos-ethyl","Apple",21,0.290957186981323,-0.827301587301585,4.6229427399352,4.63208977259462,"Insignificant"
"107","Bromophos-ethyl","Avocado",19,0.305887645160749,1.3059649122807,9.26351608971342,9.26856502355362,"Insignificant"
"108","Bromophos-ethyl","Carrot",21,0.290957186981323,4.57142857142858,3.89893497871585,3.90977621519571,"Insignificant"
"109","Bromophos-ethyl","Onion",21,0.290957186981323,-0.206984126984124,4.7942736565803,4.80309441702284,"Insignificant"
"110","Bromophos-ethyl","Orange",20,0.298142396999972,-3.10266666666667,5.46947655641466,5.47759643366125,"Insignificant"
"111","Bromophos-ethyl","Spinach",13,0.369800130816819,2.22153846153847,3.97112742070221,3.98830855478925,"Insignificant"
"112","Bromophos-ethyl","Strawberries",20,0.298142396999972,-1.22,7.48397305123281,7.4899093132339,"Insignificant"
"113","Buprofezin","Apple",21,0.290957186981323,-0.0565079365079313,5.87139794788548,5.87860272063778,"Insignificant"
"114","Buprofezin","Avocado",21,0.290957186981323,-3.70222222222222,7.80542527372492,7.8108462914309,"Insignificant"
"115","Buprofezin","Carrot",21,0.290957186981323,4.06730158730159,7.04435405279746,7.05036028198702,"Insignificant"
"116","Buprofezin","Onion",21,0.290957186981323,2.49142857142857,4.68454913891621,4.69357611204684,"Insignificant"
"117","Buprofezin","Orange",21,0.290957186981323,3.47746031746032,9.12524568343608,9.12988306977285,"Insignificant"
"118","Buprofezin","Spinach",14,0.356348322549899,3.9752380952381,4.95920274028919,4.97198913376487,"Insignificant"
"119","Buprofezin","Strawberries",20,0.298142396999972,4.47733333333334,5.56908526090909,5.57706011552357,"Insignificant"
"120","Captan (raw)","Apple",21,0.290957186981323,-6.37142857142857,14.7490542284894,14.7519238311339,"Insignificant"
"121","Captan (raw)","Avocado",21,0.290957186981323,-100,0,0.290957186981323,"Significant"
"122","Captan (raw)","Carrot",21,0.290957186981323,-4.3047619047619,12.4405782543091,12.4439802067604,"Insignificant"
"123","Captan (raw)","Onion",21,0.290957186981323,-100,0,0.290957186981323,"Significant"
"124","Captan (raw)","Orange",20,0.298142396999972,6.77333333333334,8.46103694583769,8.46628815288727,"Insignificant"
