Compound,Matrix,Repeatability,Reproducibility,Precision,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
Cypermethrin,Apple,0.002429085333115235,0.0027501160148688465,0.005500232029737693,0.290957186981323,0.808888888888893,3.54384181571565,3.55576586679592,Insignificant,0.0076616161418307845,10.215488189107713
Cypermethrin,Avocado,0.0055312351156646625,0.008765801824856239,0.017531603649712478,0.298142396999972,-10.5566666666667,9.10324394336424,9.10812489930208,Insignificant,0.02222639173794313,29.63518898392417
Cypermethrin,Carrot,0.002743020580448107,0.0037045421651077507,0.0074090843302155015,0.369800130816819,1.70153846153847,1.16240540466153,1.21981083022675,Insignificant,0.007631670338183277,10.175560450911036
Cypermethrin,Onion,0.002665139145835854,0.0033550885305188355,0.006710177061037671,0.298142396999972,1.36,3.68039916472329,3.69245540265347,Insignificant,0.00870077506414181,11.601033418855748
Cypermethrin,Orange,0.004423468796145871,0.00501747849783041,0.01003495699566082,0.290957186981323,4.42412698412699,6.46256724914608,6.46911365910289,Insignificant,0.013959283035211482,18.612377380281977
Cypermethrin,Spinach,0.004693260619025458,NaN,NaN,0.369800130816819,3.47794871794872,3.93570115605131,3.95303626678225,Insignificant,NaN,NaN
Cypermethrin,Strawberries,0.003787177405194097,0.004357335749048033,0.008714671498096066,0.314269680527355,-1.79037037037037,3.49566994315664,3.50976833759545,Insignificant,0.010181456935664947,13.575275914219931
Cyproconazole,Apple,0.0029392688865263025,NaN,NaN,0.298142396999972,-3.732,3.30489737611725,3.31831818178359,Insignificant,NaN,NaN
Cyproconazole,Avocado,0.0032467984230623264,0.003900138232331328,0.007800276464662656,0.290957186981323,-2.97269841269841,4.95495527718887,4.96349049395663,Insignificant,0.01078312793966877,14.377503919558361
Cyproconazole,Carrot,0.002877204055085972,0.003172307364302116,0.006344614728604232,0.290957186981323,-0.119365079365076,4.11565353512222,4.12592536357847,Insignificant,0.008863208859804503,11.817611813072672
Cyproconazole,Onion,0.0020901116397615367,0.0037810005694422248,0.0075620011388844496,0.290957186981323,-0.645714285714281,4.4855809908413,4.49500755394837,Insignificant,0.010131402680384823,13.508536907179764
Cyproconazole,Orange,0.0034823277199606544,NaN,NaN,0.298142396999972,0.495333333333337,3.88073249250223,3.89216823470562,Insignificant,NaN,NaN
Cyproconazole,Spinach,0.0030787860934991572,0.0036652333778745515,0.007330466755749103,0.369800130816819,3.54461538461539,3.40992384471862,3.42991731147163,Insignificant,0.008955751871009577,11.941002494679436
Cyproconazole,Strawberries,0.0030171149364388683,0.004039629453606976,0.008079258907213952,0.290957186981323,-0.730158730158725,5.01622594699668,5.02465708640688,Insignificant,0.011049007958669794,14.732010611559726
Cyprodinil,Apple,0.003226100402889498,0.004239657603939189,0.008479315207878379,0.290957186981323,-1.02603174603174,5.2838714362196,5.29187617383036,Insignificant,0.011614976609216775,15.486635478955701
Cyprodinil,Avocado,0.004526841991134484,0.005245044762232552,0.010490089524465104,0.290957186981323,2.96571428571429,6.72045444419557,6.72674988543234,Insignificant,0.014555157068163556,19.40687609088474
Cyprodinil,Carrot,0.0043203282870560335,0.0046753479262288625,0.009350695852457725,0.290957186981323,0.420952380952384,6.095650283682,6.10259030786178,Insignificant,0.013085454977676141,17.44727330356819
Cyprodinil,Onion,0.0034867080940814824,0.004089179932089903,0.008178359864179805,0.290957186981323,1.56063492063492,5.22423663951093,5.23233261082135,Insignificant,0.011335100586502195,15.113467448669596
Cyprodinil,Orange,0.0028276486389572563,0.002902984741290121,0.005805969482580242,0.290957186981323,4.60888888888889,3.84078772784573,3.85179262876735,Insignificant,0.00819090783469468,10.921210446259575
Cyprodinil,Spinach,0.00472915652400843,0.005427364433486803,0.010854728866973607,0.544331053951817,2.34666666666667,0.440928313649484,0.700509867221065,Significant,0.01266546860259461,16.887291470126147
Cyprodinil,Strawberries,0.004076346013943961,NaN,NaN,0.290957186981323,2.25142857142858,5.16592990138579,5.17411710639485,Insignificant,NaN,NaN
delta-BHC,Apple,0.002238469573558244,0.0034971747586468997,0.006994349517293799,0.290957186981323,-3.54095238095238,4.2299221351983904,4.23991714005089,Insignificant,0.00945351491338999,12.604686551186653
delta-BHC,Avocado,0.0036927384771084835,0.006494057828109476,0.012988115656218952,0.290957186981323,-7.55746031746031,7.73009658591102,7.73557039345964,Insignificant,0.017416343165305995,23.22179088707466
delta-BHC,Carrot,0.003688923144801742,0.004406952222472633,0.008813904444945266,0.344265186329548,2.85866666666667,2.31664124686294,2.34208137885625,Insignificant,0.009488252643732278,12.651003524976371
delta-BHC,Onion,0.0030695043806544956,0.003427372508631819,0.006854745017263638,0.344265186329548,1.02488888888889,1.68274806735918,1.71760285768264,Insignificant,0.007322935770530813,9.763914360707751
delta-BHC,Orange,0.0055878065946919275,0.0057951425824582185,0.011590285164916437,0.290957186981323,2.6368253968254,7.64497209327008,7.65050680618836,Insignificant,0.016310358137853212,21.747144183804284
delta-BHC,Spinach,0.004833174299518255,0.005716025003158638,0.011432050006317276,0.356348322549899,-0.0238095238095214,7.10235820439184,7.11129216039365,Insignificant,0.01563570717222314,20.847609562964188
delta-BHC,Strawberries,0.004573754319093731,0.005148920301588365,0.01029784060317673,0.298142396999972,-1.16066666666666,5.59630533926557,5.60424145975004,Insignificant,0.013293323374972606,17.72443116663014
Deltamethrin,Apple,0.003395888270078553,NaN,NaN,0.290957186981323,0.689523809523814,4.31741927618215,4.32721218465253,Insignificant,NaN,NaN
Deltamethrin,Avocado,0.004717343885422532,0.014213459487832123,0.028426918975664246,0.290957186981323,-9.83619047619047,16.2257245099569,16.2283329999625,Insignificant,0.03742521882840155,49.90029177120207
Deltamethrin,Carrot,0.00278720802442669,0.0033390925077796444,0.006678185015559289,0.298142396999972,0.607333333333338,3.68119857165796,3.69325220000821,Insignificant,0.008676889228346063,11.569185637794751
Deltamethrin,Onion,0.0036383189908754648,0.0041260750402889205,0.008252150080577841,0.290957186981323,-1.94920634920635,5.31469345878448,5.32265184334863,Insignificant,0.011482242024306996,15.309656032409329
Deltamethrin,Orange,0.004267136506868978,NaN,NaN,0.298142396999972,-6.72933333333333,4.73388205368972,4.74326134501721,Insignificant,NaN,NaN
Deltamethrin,Spinach,0.007492550109465876,0.008448934421401485,0.01689786884280297,0.402015126103685,1.12363636363637,5.57505265636228,5.58952844905796,Insignificant,0.01886357164125964,25.151428855012856
Deltamethrin,Strawberries,0.003558012866131256,0.00489698275839873,0.00979396551679746,0.290957186981323,-4.06730158730158,6.04930038370349,6.05629352136529,Insignificant,0.013358473557346023,17.811298076461362
Diazinon,Apple,0.0030539615178290873,0.005093536587282589,0.010187073174565178,0.290957186981323,2.02603174603175,6.10411660903685,6.11104701842292,Insignificant,0.013704104315935451,18.272139087913935
Diazinon,Avocado,0.0038686737401771804,0.00563433527699634,0.01126867055399268,0.298142396999972,3.188,5.90818466890392,5.91570240721761,Insignificant,0.014343043252344747,19.124057669792997
Diazinon,Carrot,0.002587380547047167,NaN,NaN,0.290957186981323,-1.13587301587301,3.36563712059296,3.37819024215175,Insignificant,NaN,NaN
Diazinon,Onion,0.0025479961002686175,0.0037509510812066557,0.0075019021624133115,0.290957186981323,0.536507936507941,4.57945732789262,4.58869104458401,Insignificant,0.01018109662243581,13.57479549658108
Diazinon,Orange,0.0038715291675561697,0.003921608634949995,0.00784321726989999,0.290957186981323,0.569523809523813,5.20886960286803,5.21698942152834,Insignificant,0.011079452109541307,14.772602812721741
Diazinon,Spinach,0.003083505271911296,0.004946522691213886,0.009893045382427771,0.384900179459751,6.79333333333334,3.15190883321984,3.17532320261693,Significant,0.016074907612598558,21.433210150131412
Diazinon,Strawberries,0.004057676440432142,NaN,NaN,0.290957186981323,-0.980952380952376,5.14166349463513,5.14988927810294,Insignificant,NaN,NaN
Dichlorvos,Apple,0.0022818528394601533,0.003346107699207222,0.006692215398414444,0.290957186981323,1.18285714285715,4.0878272258709,4.09816879999195,Insignificant,0.00908704951255011,12.11606601673348
Dichlorvos,Avocado,0.004248698400126577,0.0047007360112666504,0.009401472022533301,0.290957186981323,-1.79936507936508,6.0930962407418,6.10003917066095,Insignificant,0.01311911778392784,17.49215704523712
