Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Flusilazole,Apple,0.01187,0.00906,0.01249,0.00897,0.01206,0.00895,0.01031,0.0015873142935999365,0.00476194288079981,0.015873142935999365
Oxyfluorfen,Apple,0.01039,0.0126,0.01487,0.00862,0.01281,0.00979,0.00886,0.0023369129005510465,0.007010738701653139,0.023369129005510466
Buprofezin,Apple,0.01293,0.00941,0.00771,0.00929,0.01049,0.01007,0.00816,0.0017211499478131309,0.005163449843439393,0.01721149947813131
Kresoxim-methyl,Apple,0.01259,0.00962,0.01073,0.01025,0.01095,0.01097,0.01003,9.589900441411812e-4,0.002876970132423544,0.009589900441411812
Fenthion-oxon-sulfone,Apple,0.01241,0.01515,0.02257,0.01958,0.01363,0.01725,0.0164,0.0034970021174605846,0.010491006352381753,0.03497002117460585
Chlorfenapyr,Apple,0.0125,0.0116,0.01287,0.01134,0.00949,0.01395,0.01254,0.0014133108713399254,0.004239932614019776,0.014133108713399255
Cyproconazole,Apple,0.01123,0.01046,0.01097,0.0099,0.01046,0.01007,0.01087,4.8452234702013955e-4,0.0014535670410604187,0.004845223470201395
Endrin,Apple,0.01331,0.01127,0.01226,0.01236,0.01433,0.01183,0.01305,0.0010188392087730693,0.0030565176263192078,0.010188392087730692
beta-Endosulfan,Apple,0.0082,0.01151,0.00553,0.00924,0.00963,0.0103,0.01412,0.0026761664123642736,0.00802849923709282,0.026761664123642736
"p,p'-DDD",Apple,0.01067,0.00961,0.00961,0.00964,0.0102,0.00921,0.00974,4.770544543141304e-4,0.0014311633629423913,0.004770544543141304
"o,p'-DDT",Apple,0.01056,0.00976,0.00931,0.00971,0.0105,0.00945,0.01073,5.797618558717101e-4,0.0017392855676151304,0.005797618558717101
Benalaxyl,Apple,0.01079,0.00863,0.00929,0.00841,0.00925,0.00926,0.01007,8.171873947236568e-4,0.00245156218417097,0.008171873947236568
Trifloxystrobin (raw),Apple,0.00938,0.00852,0.00854,0.00751,0.0083,0.00892,0.00943,6.66451155642439e-4,0.001999353466927317,0.006664511556424391
Endosulfan sulfate,Apple,0.00734,0.00928,0.00544,0.00659,0.00845,0.00566,0.00682,0.0014022685701594907,0.004206805710478472,0.014022685701594907
Propiconazole,Apple,0.00887,0.0087,0.00862,0.00804,0.0086,0.00855,0.00786,3.686332543198943e-4,0.0011058997629596829,0.003686332543198943
"p,p'-DDT",Apple,0.01226,0.01138,0.01194,0.01174,0.01256,0.01152,0.01212,4.180681193070722e-4,0.0012542043579212166,0.004180681193070722
Tebuconazole,Apple,0.00937,0.00855,0.00874,0.00921,0.00873,0.00819,0.01027,6.822127862436218e-4,0.0020466383587308653,0.006822127862436219
Piperonyl butoxide,Apple,0.01118,0.0098,0.00938,0.01016,0.00982,0.00933,0.01023,6.29175575465152e-4,0.001887526726395456,0.0062917557546515205
Bioresmethrin,Apple,0.01041,0.00814,0.01115,0.00966,0.01062,0.01001,0.00936,9.831533330007462e-4,0.0029494599990022383,0.009831533330007462
Iprodione,Apple,0.00709,0.00502,0.00434,0.00699,0.00883,0.00778,0.01146,0.0023788332474235386,0.007136499742270616,0.023788332474235386
Phosmet,Apple,0.01523,0.0151,0.01508,0.01485,0.01594,0.01529,0.01568,3.7620916168181373e-4,0.0011286274850454412,0.0037620916168181373
Bifenthrin,Apple,0.01022,0.00896,0.00965,0.00906,0.01002,0.00894,0.00991,5.429154104067621e-4,0.0016287462312202863,0.005429154104067621
Fenoxycarb,Apple,0.01058,0.00857,0.00794,0.01011,0.00819,0.00719,0.0077,0.001265061639755531,0.0037951849192665926,0.01265061639755531
Tebufenpyrad,Apple,0.00922,0.00864,0.00823,0.00899,0.00933,0.00855,0.00976,5.242136968832462e-4,0.0015726410906497386,0.005242136968832463
Tetradifon,Apple,0.01126,0.01031,0.01106,0.01179,0.0112,0.01091,0.01174,5.060773515128749e-4,0.0015182320545386245,0.005060773515128749
Phenothrin,Apple,0.01355,0.00964,0.00998,0.01002,0.0112,0.01026,0.01098,0.0013337148263760279,0.0040011444791280834,0.01333714826376028
Azinphos-methyl,Apple,0.01554,0.01583,0.01721,0.01605,0.01484,0.0158,0.01437,9.086567794591872e-4,0.0027259703383775615,0.009086567794591872
Pyriproxyfen,Apple,0.0105,0.00982,0.01094,0.01045,0.01075,0.01083,0.01032,3.787196475343882e-4,0.0011361589426031648,0.003787196475343882
Cyhalothrin,Apple,0.00837,0.00822,0.00992,0.00883,0.00986,0.00824,0.00947,7.547121810269634e-4,0.00226413654308089,0.007547121810269635
Fenarimol,Apple,0.01094,0.00993,0.01032,0.00995,0.00998,0.01035,0.01044,3.625701902489267e-4,0.0010877105707467801,0.0036257019024892667
Azinphos-ethyl,Apple,0.01171,0.01075,0.01254,0.01169,0.01274,0.01229,0.01258,7.058733192699261e-4,0.0021176199578097784,0.007058733192699261
Bitertanol,Apple,0.00996,0.00915,0.01054,0.00973,0.01071,0.00934,0.01061,6.324781193279114e-4,0.0018974343579837342,0.006324781193279114
Permethrin,Apple,0.01088,0.0106,0.01099,0.01032,0.01138,0.00953,0.01158,6.899240813997131e-4,0.0020697722441991393,0.006899240813997131
Cyfluthrin,Apple,0.00952,0.00893,0.01032,0.00944,0.00997,0.00936,0.01046,5.540715099111647e-4,0.001662214529733494,0.005540715099111647
Cypermethrin,Apple,0.01165,0.0098,0.01008,0.00924,0.01088,0.01094,0.01084,8.194917123843701e-4,0.0024584751371531104,0.008194917123843702
Boscalid,Apple,0.00856,0.00778,0.00793,0.00813,0.0097,0.00753,0.00936,8.233208019096463e-4,0.002469962405728939,0.008233208019096463
Fenvalerate,Apple,0.01706,0.01581,0.01487,0.01575,0.01678,0.01099,0.01244,0.002274487906781489,0.0068234637203444665,0.022744879067814888
Pyraclostrobin,Apple,0.01383,0.01334,0.01277,0.00787,0.01194,0.01327,0.01288,0.002027703368932683,0.006083110106798049,0.02027703368932683
tau-Fluvalinate,Apple,0.01141,0.01061,0.00737,0.01168,0.01239,0.01172,0.01269,0.001786895418902639,0.005360686256707917,0.01786895418902639
Difenoconazole,Apple,0.00947,0.00817,0.00887,0.00867,0.00982,0.00928,0.01062,8.057176629446273e-4,0.002417152988833882,0.008057176629446274
Indoxacarb,Apple,0.01181,0.00878,0.01107,0.01006,0.01274,0.01071,0.01064,0.0012591002078203837,0.003777300623461151,0.012591002078203836
Deltamethrin,Apple,0.00983,0.00986,0.0102,0.00974,0.01062,0.01016,0.01013,3.0037278425950866e-4,9.01118352778526e-4,0.0030037278425950865
Azoxystrobin,Apple,0.00984,0.00937,0.01044,0.00969,0.01184,0.0141,0.01061,0.0016494385769247725,0.004948315730774318,0.016494385769247725
Dimethomorph,Apple,0.00991,0.00877,0.00971,0.00958,0.00979,0.00924,0.01019,4.6749076894375035e-4,0.001402472306831251,0.0046749076894375035
