Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Fenarimol,Spinach,0.00778,0.00925,0.0081,0.00885,0.00898,0.00895,0.00933,5.849053647508166e-4,0.00175471609425245,0.005849053647508166
Azinphos-ethyl,Spinach,0.00745,0.00858,0.00799,0.00669,0.00556,0.00601,0.00503,0.0013103234787820983,0.003930970436346295,0.013103234787820984
Bitertanol,Spinach,0.00916,0.00936,0.00886,0.00932,0.01084,0.01115,0.00979,8.774340295375354e-4,0.002632302088612606,0.008774340295375353
Permethrin,Spinach,0.00748,0.00485,0.00151,0.01143,0.0072,0.00916,0.00758,0.003153136005101376,0.009459408015304129,0.03153136005101376
Cyfluthrin,Spinach,0.00589,0.00578,0.00545,0.00472,0.00311,0.00416,0.00333,0.0011410354528943898,0.0034231063586831695,0.011410354528943898
Cypermethrin,Spinach,0.00821,0.00671,0.00649,0.0049,0.00725,0.00568,0.00446,0.0013204761046142195,0.003961428313842659,0.013204761046142195
Boscalid,Spinach,0.00549,0.00733,0.00803,0.00647,0.007,0.00657,0.00779,8.684441479423062e-4,0.0026053324438269185,0.008684441479423061
Fenvalerate,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyraclostrobin,Spinach,NA,0.00661,0.00562,0.00449,0.00365,0.00364,0.00265,0.0014540930735914628,0.0043622792207743885,0.014540930735914628
tau-Fluvalinate,Spinach,0.0038,0.00374,0.00239,0.00189,0.00283,0.00103,0.00162,0.0010527967288992458,0.0031583901866977376,0.010527967288992458
Difenoconazole,Spinach,0.00723,0.00617,0.00641,0.0066,0.0074,0.00765,0.00717,5.540371312982036e-4,0.001662111393894611,0.005540371312982036
Indoxacarb,Spinach,6.8e-4,0.00229,4.2e-4,2.9e-4,NA,NA,NA,9.276134252298565e-4,0.0027828402756895697,0.009276134252298566
Deltamethrin,Spinach,0.00143,0.00164,0.00274,0.00214,0.00229,0.00216,0.0022,4.32043869024784e-4,0.001296131607074352,0.00432043869024784
Azoxystrobin,Spinach,0.00742,0.00484,0.00701,0.00624,0.00888,0.00663,0.00758,0.001251967974639851,0.0037559039239195525,0.01251967974639851
Dimethomorph,Spinach,0.00793,0.00748,0.00782,0.00678,0.00711,0.00707,0.00876,6.710404146511881e-4,0.0020131212439535645,0.00671040414651188
