"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"102","Cinerin2","Onion",21,0.290957186981323,1.02096187898269,6.51449170692391,6.52098599018864,"Insignificant"
"103","Cinerin2","Orange",21,0.290957186981323,5.38704269683314,9.12191121816418,9.12655029881092,"Insignificant"
"104","Cinerin2","Spinach",21,0.290957186981323,2.05364737364691,7.43124332014829,7.43693709586847,"Insignificant"
"105","Cinerin2","Strawberry",20,0.298142396999972,-2.90504182429764,7.06810703341428,7.07439226539562,"Insignificant"
"106","Clofentezine","Apple",21,0.290957186981323,-3.82390161053541,6.16044086021452,6.16730797648833,"Insignificant"
"107","Clofentezine","Avocado",20,0.298142396999972,5.96316191066189,5.99724472762473,6.00465096503631,"Insignificant"
"108","Clofentezine","Carrot",21,0.290957186981323,-0.688570908521404,5.70688592221359,5.71429812083827,"Insignificant"
"109","Clofentezine","Onion",19,0.305887645160749,-4.96705278420942,3.60013799281199,3.61310957746238,"Insignificant"
"110","Clofentezine","Orange",21,0.290957186981323,3.76460888595693,7.11783966642855,7.12378393844449,"Insignificant"
"111","Clofentezine","Spinach",21,0.290957186981323,-1.86458566320186,5.3046760532431,5.31264944396926,"Insignificant"
"112","Clofentezine","Strawberry",21,0.290957186981323,0.764541914282338,5.03293560471201,5.04133879895351,"Insignificant"
"113","Cyproconazole","Apple",21,0.290957186981323,-1.52870429703414,7.98229841819523,7.98759939667596,"Insignificant"
"114","Cyproconazole","Avocado",21,0.290957186981323,5.02305731486183,5.4412541763313,5.44902772025422,"Insignificant"
"115","Cyproconazole","Carrot",19,0.305887645160749,-1.62526048061699,3.23632440691248,3.25074805517737,"Insignificant"
"116","Cyproconazole","Onion",18,0.314269680527355,-0.0890036411580054,2.8354988427062,2.85286156675836,"Insignificant"
"117","Cyproconazole","Orange",21,0.290957186981323,0.0681045976012868,4.92414163355927,4.93273016817338,"Insignificant"
"118","Cyproconazole","Spinach",21,0.290957186981323,1.79812015695318,3.90830847882916,3.91912378604504,"Insignificant"
"119","Cyproconazole","Strawberry",16,0.333333333333333,0.0778306759922782,1.78496206287325,1.81581956069645,"Insignificant"
"120","Cyprodinil","Apple",21,0.290957186981323,-0.725769260512473,5.46466229163768,5.47240258445071,"Insignificant"
"121","Cyprodinil","Avocado",19,0.305887645160749,3.65054925678179,2.62326796319584,2.64104185089741,"Insignificant"
"122","Cyprodinil","Carrot",19,0.305887645160749,-4.16275957776258,4.3983994707009,4.40902315205125,"Insignificant"
"123","Cyprodinil","Onion",13,0.369800130816819,0.266766343460711,1.8233427611754,1.86046525403805,"Insignificant"
"124","Cyprodinil","Orange",21,0.290957186981323,2.77333322230447,6.26728996156977,6.27404012953769,"Insignificant"
"125","Cyprodinil","Spinach",19,0.305887645160749,2.38415268136956,2.06368312512861,2.08622992318742,"Insignificant"
"126","Cyprodinil","Strawberry",19,0.305887645160749,-3.27822791569694,2.76660666327014,2.78346540857125,"Insignificant"
"127","Demeton S-methyl","Apple",21,0.290957186981323,1.99826755032861,4.52475291487628,4.53409803878759,"Insignificant"
"128","Demeton S-methyl","Avocado",21,0.290957186981323,5.65584891355046,4.26624791837413,4.27615801692217,"Insignificant"
"129","Demeton S-methyl","Carrot",20,0.298142396999972,1.86035778261748,4.23071509577294,4.24120727039954,"Insignificant"
"130","Demeton S-methyl","Onion",21,0.290957186981323,0.337292971851966,5.80628290320162,5.81356837378451,"Insignificant"
"131","Demeton S-methyl","Orange",21,0.290957186981323,1.25394125903114,7.45933643270717,7.46500878103761,"Insignificant"
"132","Demeton S-methyl","Spinach",21,0.290957186981323,-0.0687892241116898,3.57376713722255,3.58559167164192,"Insignificant"
"133","Demeton S-methyl","Strawberry",21,0.290957186981323,-1.30899478218356,3.52719247931928,3.53917262517987,"Insignificant"
"134","Demeton-S","Apple",19,0.305887645160749,-0.206121742375127,4.52480227636844,4.53512986492019,"Insignificant"
"135","Demeton-S","Avocado",21,0.290957186981323,7.33995780349293,4.55721036479852,4.5664890664145,"Insignificant"
"136","Demeton-S","Carrot",21,0.290957186981323,3.74925537286823,6.70194518242956,6.70825799391667,"Insignificant"
"137","Demeton-S","Onion",21,0.290957186981323,-0.305349159030433,5.21284295820129,5.22095659736076,"Insignificant"
"138","Demeton-S","Orange",21,0.290957186981323,-1.56200765232082,5.72924936627124,5.7366326695698,"Insignificant"
"139","Demeton-S","Spinach",20,0.298142396999972,-2.13209862954943,4.18040952303114,4.19102763879437,"Insignificant"
"140","Demeton-S","Strawberry",20,0.298142396999972,-2.99432691734698,3.58865975311929,3.601023148016,"Insignificant"
"141","Demeton-S methyl Sulfone","Apple",20,0.298142396999972,2.23103825612976,8.38135926693151,8.38666036335487,"Insignificant"
"142","Demeton-S methyl Sulfone","Avocado",21,0.290957186981323,9.72358692662473,10.3364948330973,10.3405890315447,"Insignificant"
"143","Demeton-S methyl Sulfone","Carrot",20,0.298142396999972,-3.88875044297179,8.88619255031758,8.89119266072941,"Insignificant"
"144","Demeton-S methyl Sulfone","Onion",21,0.290957186981323,1.9655185073472,9.51844505047593,9.52289096144578,"Insignificant"
"145","Demeton-S methyl Sulfone","Orange",19,0.305887645160749,0.327498039247976,7.07798464503192,7.08459129991065,"Insignificant"
"146","Demeton-S methyl Sulfone","Spinach",21,0.290957186981323,1.82866226723421,9.27317506363242,9.2777385092182,"Insignificant"
"147","Demeton-S methyl Sulfone","Strawberry",21,0.290957186981323,-2.11017558844336,9.85319111300594,9.8574860483835,"Insignificant"
"148","Demeton-S methyl Sulfoxide","Apple",21,0.290957186981323,-1.93741066591816,7.7149916868567,7.72047620376646,"Insignificant"
"149","Demeton-S methyl Sulfoxide","Avocado",20,0.298142396999972,4.199098082596,8.18402156465925,8.18945040034412,"Insignificant"
"150","Demeton-S methyl Sulfoxide","Carrot",21,0.290957186981323,5.01951603509686,11.8004420195283,11.8040284623897,"Insignificant"
"151","Demeton-S methyl Sulfoxide","Onion",21,0.290957186981323,0.178684631148283,7.55018705993526,7.55579120441201,"Insignificant"
"152","Demeton-S methyl Sulfoxide","Orange",21,0.290957186981323,2.87024817504112,6.18094618088776,6.18779054070894,"Insignificant"
