Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
Clofentezine,Strawberry,21,0.0031578470110257776,0.004010125332410661,0.290957186981323,0.764541914282338,5.03293560471201,5.04133879895351,Insignificant,0.01102308435600914,14.697445808012185
Cyproconazole,Apple,21,0.0048505416600564235,0.006412324706832509,0.290957186981323,-1.52870429703414,7.98229841819523,7.98759939667596,Insignificant,0.01755065687823163,23.400875837642175
Cyproconazole,Avocado,21,0.003860520462332146,0.004171842856222636,0.290957186981323,5.02305731486183,5.4412541763313,5.44902772025422,Insignificant,0.011680063066365947,15.573417421821263
Cyproconazole,Carrot,19,0.002401242675810906,0.0024381079871609148,0.305887645160749,-1.62526048061699,3.23632440691248,3.25074805517737,Insignificant,0.006895944372910076,9.194592497213437
Cyproconazole,Onion,18,0.001723294464132771,0.002273658841516459,0.314269680527355,-0.0890036411580054,2.8354988427062,2.85286156675836,Insignificant,0.006244232629264347,8.325643505685797
Cyproconazole,Orange,21,0.0027136805554097477,0.004040829996661332,0.290957186981323,0.0681045976012868,4.92414163355927,4.93273016817338,Insignificant,0.010957182064732228,14.609576086309637
Cyproconazole,Spinach,21,0.002659340041762555,0.0030403219856227955,0.290957186981323,1.79812015695318,3.90830847882916,3.91912378604504,Insignificant,0.008457728797869992,11.276971730493324
Cyproconazole,Strawberry,16,0.0014322306460468278,0.0014322306460468278,0.333333333333333,0.0778306759922782,1.78496206287325,1.81581956069645,Insignificant,0.0039527003449756366,5.270267126634182
Cyprodinil,Apple,21,0.004112836513716716,0.004112836513716716,0.290957186981323,-0.725769260512473,5.46466229163768,5.47240258445071,Insignificant,0.011620794910780725,15.4943932143743
Cyprodinil,Avocado,19,0.0020009960106152354,0.0020009960106152354,0.305887645160749,3.65054925678179,2.62326796319584,2.64104185089741,Insignificant,0.005631156166270253,7.50820822169367
Cyprodinil,Carrot,19,0.0033524938508705626,0.0033524938508705626,0.305887645160749,-4.16275957776258,4.3983994707009,4.40902315205125,Insignificant,0.009417839544183083,12.557119392244111
Cyprodinil,Onion,13,0.0013347565799508524,0.0013798964554740587,0.369800130816819,0.266766343460711,1.8233427611754,1.86046525403805,Insignificant,0.0039248505162179015,5.233134021623869
Cyprodinil,Orange,21,0.003849470112430673,0.005021221877996154,0.290957186981323,2.77333322230447,6.26728996156977,6.27404012953769,Insignificant,0.013762947742875791,18.350596990501057
Cyprodinil,Spinach,19,0.0013710299561303326,0.001616405340105845,0.305887645160749,2.38415268136956,2.06368312512861,2.08622992318742,Insignificant,0.004499318204127887,5.999090938837183
Cyprodinil,Strawberry,19,0.001897916070358225,0.002145130952182956,0.305887645160749,-3.27822791569694,2.76660666327014,2.78346540857125,Insignificant,0.005986537103339211,7.982049471118948
Demeton S-methyl,Apple,21,0.003326985637924802,0.003421702009369414,0.290957186981323,1.99826755032861,4.52475291487628,4.53409803878759,Insignificant,0.009648200861855026,12.8642678158067
Demeton S-methyl,Avocado,21,0.003103734935029596,0.003239938037933386,0.290957186981323,5.65584891355046,4.26624791837413,4.27615801692217,Insignificant,0.009117632948105994,12.156843930807993
